424,1526,1951,
380,620,1001,
540,538,1079,
490,473,964,
186,394,581,
171,368,539,
166,381,548,
186,587,773,
237,498,736,
167,402,569,
148,378,526,
166,386,553,
146,409,556,
181,383,565,
144,473,617,
212,511,724,
220,541,761,
211,545,757,
220,567,787,
279,491,771,
171,411,583,
165,385,551,
161,383,544,
171,401,573,
233,447,680,
252,525,777,
175,376,552,
148,387,536,
160,414,575,
163,381,544,
147,552,700,
231,503,735,
209,421,631,
143,380,523,
196,497,694,
208,533,742,
266,620,887,
293,655,948,
224,487,711,
155,383,538,
150,381,531,
146,381,527,
170,491,661,
231,595,827,
289,462,751,
180,416,597,
198,380,578,
152,389,541,
162,375,538,
151,396,547,
156,389,546,
197,442,639,
171,370,541,
158,419,578,
157,380,537,
176,502,678,
237,498,735,
220,508,729,
207,390,597,
161,385,547,
174,388,563,
154,438,593,
161,383,545,
160,421,581,
155,339,495,
60,147,208,
59,154,214,
67,147,215,
60,145,206,
60,146,207,
61,146,208,
59,159,218,
62,146,208,
60,146,206,
61,146,208,
59,150,210,
73,149,222,
61,162,224,
74,155,230,
66,194,260,
90,158,249,
66,149,215,
60,147,208,
61,148,210,
61,156,218,
71,149,221,
61,148,210,
62,148,210,
61,147,209,
68,151,219,
65,149,215,
63,149,212,
60,146,207,
61,152,214,
61,154,215,
63,146,209,
62,147,209,
59,147,207,
62,146,209,
61,164,226,
66,158,224,
65,153,219,
65,157,223,
64,148,212,
60,148,208,
60,147,208,
61,152,214,
63,156,219,
63,176,240,
67,149,216,
62,146,209,
67,148,216,
79,154,234,
63,158,222,
64,147,211,
60,153,214,
61,147,209,
61,151,212,
68,147,215,
61,152,214,
63,147,210,
84,151,236,
67,167,235,
71,149,220,
69,148,218,
81,158,240,
67,148,216,
63,157,221,
69,146,216,
66,148,215,
64,146,210,
63,147,210,
68,154,223,
61,146,207,
59,146,206,
59,147,207,
60,152,213,
69,148,217,
61,146,208,
61,148,209,
60,146,207,
59,163,223,
64,148,212,
61,162,223,
68,149,218,
65,164,229,
75,149,225,
64,147,212,
64,147,212,
67,148,216,
65,157,223,
72,155,228,
72,148,221,
67,147,214,
65,157,223,
66,171,238,
73,150,223,
68,150,219,
70,156,227,
77,152,229,
76,152,228,
69,151,221,
75,153,229,
76,156,232,
76,190,266,
87,160,247,
97,196,293,
88,209,297,
131,187,318,
151,194,345,
125,217,343,
136,188,325,
144,188,333,
98,162,261,
87,166,253,
88,161,250,
96,159,255,
86,156,243,
83,163,247,
81,163,245,
74,156,231,
99,159,259,
86,176,263,
85,175,260,
88,167,256,
93,160,253,
85,167,253,
92,165,258,
80,163,243,
79,155,235,
82,160,242,
85,160,246,
80,159,239,
78,153,232,
79,158,237,
94,158,253,
84,159,243,
84,156,240,
81,157,239,
93,161,255,
103,163,267,
91,171,262,
122,188,310,
133,174,308,
93,188,281,
89,160,250,
95,160,255,
83,174,257,
87,158,246,
79,161,240,
82,158,241,
83,154,238,
83,161,244,
86,169,255,
86,159,245,
75,157,232,
76,155,231,
74,162,237,
73,158,232,
78,158,237,
76,203,280,
111,181,292,
83,153,237,
72,152,225,
70,151,222,
73,162,236,
76,156,232,
75,161,236,
76,174,250,
78,163,241,
81,154,236,
78,154,233,
87,160,248,
78,168,246,
80,154,235,
105,173,278,
99,164,264,
119,168,288,
89,174,263,
108,161,270,
88,166,254,
84,155,239,
92,197,290,
86,161,247,
91,157,248,
99,205,305,
107,188,296,
